;46096733@13021920@ТМ(4.5)@ТБ(4.5);46096733@13021920@ТМ1(3.5)@ТБ1(3.5);46096733@13021920@ТМ2(1.5)@ТБ2(1.5);46355064@13064042@П1Н@П2;46355064@13064042@КНЗ2@КЗ2;46355064@13064042@ОЗН@ОЗД;46355064@13064042@ТМ1(1.5)@ТБ1(1.5);46425628@13065092@П1Н@П2;46454645@13107254@12@Н;46434220@13065237@П2Н@П1;46434220@13065237@ТБ2(0.5)@ТМ2(0.5);46454648@13107260@П1Н@П2;46454648@13107260@12@Н;46454646@13107240@П1Н@П2;45739100@13011286@П2Н@П1;45739100@13011286@ТМ1(1.5)@ТБ1(1.5);45739100@13011286@ТМ2(2.5)@ТБ2(2.5);46454649@13102370@П1Н@П2
bk1_score;3:1;3:1;3:1;0:0;0:0;0:0;0:0;1:0;0:0;0:0;0:0;0:0;0:0;0:0;0:1;0:1;0:1;1:0
bk2_score;3:1;3:1;3:1;0:0;0:0;0:0;0:0;1:0;0:0;0:0;0:0;0:0;0:0;0:0;0:1;0:1;0:1;1:0
create_fork;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217441;1549217443;1549217443;1549217443;1549217449
fb_avg_change_total;[];[];[];[7];[7];[7];[7];[18];[11];[11];[11];[];[];[3, 11, 4, 3];[];[];[];[]
fb_time_change_total;1549217441;1549217441;1549217441;1549217448;1549217448;1549217448;1549217448;1549217459;1549217452;1549217452;1549217452;1549217441;1549217441;1549217462;1549217441;1549217441;1549217441;1549217441
kof_fonbet;{'time_req': 1549217462, 'event': 13021920, 'value': 2.5, 'param': 450, 'factor': '930', 'score': '3:1', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 2.5, '2': 2.5, '3': 2.5, '4': 2.5, '5': 2.5}};{'time_req': 1549217462, 'event': 13021920, 'value': 3.1, 'param': 350, 'factor': '1809', 'score': '3:1', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 3.1, '2': 3.1, '3': 3.1, '4': 3.1, '5': 3.1}};{'time_req': 1549217462, 'event': 13021920, 'value': 6.1, 'param': 150, 'factor': '1854', 'score': '3:1', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 6.1, '2': 6.1, '3': 6.1, '4': 6.1, '5': 6.1}};{'time_req': 1549217462, 'event': 13064042, 'value': 8.0, 'param': '', 'factor': '923', 'score': '0:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 8.0, '2': 8.0, '3': 8.0, '4': 8.0, '5': 8.0}};{'time_req': 1549217462, 'event': 13064042, 'value': 4.3, 'param': '', 'factor': '4238', 'score': '0:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 4.3, '2': 4.3, '3': 4.3, '4': 4.3, '5': 4.3}};{'time_req': 1549217462, 'event': 13064042, 'value': 6.1, 'param': '', 'factor': '4241', 'score': '0:0', 'hist': {'time_change': 1549217448, 'avg_change': [0, 7], '1': 6.1, '2': 6.1, '3': 6.1, '4': 6.1, '5': 6.0}};{'time_req': 1549217462, 'event': 13064042, 'value': 4.9, 'param': 150, 'factor': '1812', 'score': '0:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 4.9, '2': 4.9, '3': 4.9, '4': 4.9, '5': 4.9}};{'time_req': 1549217462, 'event': 13065092, 'value': 10.5, 'param': '', 'factor': '923', 'score': '1:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 10.5, '2': 10.5, '3': 10.5, '4': 10.5, '5': 10.5}};{'time_req': 1549217462, 'event': 13107254, 'value': 4.3, 'param': '', 'factor': '922', 'score': '0:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 4.3, '2': 4.3, '3': 4.3, '4': 4.3, '5': 4.3}};{'time_req': 1549217462, 'event': 13065237, 'value': 3.7, 'param': '', 'factor': '921', 'score': '0:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 3.7, '2': 3.7, '3': 3.7, '4': 3.7, '5': 3.7}};{'time_req': 1549217462, 'event': 13065237, 'value': 4.15, 'param': 50, 'factor': '1871', 'score': '0:0', 'hist': {'time_change': 1549217452, 'avg_change': [0, 11], '1': 4.15, '2': 4.15, '3': 4.15, '4': 4.2, '5': 4.2}};{'time_req': 1549217462, 'event': 13107260, 'value': 5.9, 'param': '', 'factor': '923', 'score': '0:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 5.9, '2': 5.9, '3': 5.9, '4': 5.9, '5': 5.9}};{'time_req': 1549217462, 'event': 13107260, 'value': 4.5, 'param': '', 'factor': '922', 'score': '0:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 4.5, '2': 4.5, '3': 4.5, '4': 4.5, '5': 4.5}};{'time_req': 1549217462, 'event': 13107240, 'value': 7.8, 'param': '', 'factor': '923', 'score': '0:0', 'hist': {'time_change': 1549217444, 'avg_change': [0, 3], '1': 7.8, '2': 7.8, '3': 7.8, '4': 7.8, '5': 7.8}};{'time_req': 1549217462, 'event': 13011286, 'value': 7.8, 'param': '', 'factor': '921', 'score': '0:1', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 7.8, '2': 7.8, '3': 7.8, '4': 7.8, '5': 7.8}};{'time_req': 1549217462, 'event': 13011286, 'value': 4.7, 'param': 150, 'factor': '1815', 'score': '0:1', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 4.7, '2': 4.7, '3': 4.7, '4': 4.7, '5': 4.7}};{'time_req': 1549217462, 'event': 13011286, 'value': 6.2, 'param': 250, 'factor': '1873', 'score': '0:1', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 6.2, '2': 6.2, '3': 6.2, '4': 6.2, '5': 6.2}};{'time_req': 1549217462, 'event': 13102370, 'value': 5.7, 'param': '', 'factor': '923', 'score': '1:0', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 5.7, '2': 5.7, '3': 5.7, '4': 5.7, '5': 5.7}}
kof_olimp;{'time_req': 1549217462, 'value': 1.62, 'apid': '1151478487:46096733:2:5:4.5:1:0:0:1', 'factor': 1.62, 'sport_id': 1, 'event': '46096733', 'hist': {'time_change': 1549217448, 'avg_change': [0, 7], '1': 1.62, '2': 1.62, '3': 1.62, '4': 1.62, '5': 1.65}};{'time_req': 1549217462, 'value': 1.42, 'apid': '1151478497:46096733:2:7:3.5:1:0:0:1', 'factor': 1.42, 'sport_id': 1, 'event': '46096733', 'hist': {'time_change': 1549217448, 'avg_change': [0, 7], '1': 1.42, '2': 1.42, '3': 1.42, '4': 1.42, '5': 1.45}};{'time_req': 1549217462, 'value': 1.1, 'apid': '1151478504:46096733:2:8:1.5:1:0:0:1', 'factor': 1.1, 'sport_id': 1, 'event': '46096733', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.1, '2': 1.1, '3': 1.1, '4': 1.1, '5': 1.1}};{'time_req': 1549217462, 'value': 1.08, 'apid': '1159696678:46355064:1:3:-9999:1:0:0:1', 'factor': 1.08, 'sport_id': 1, 'event': '46355064', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.08, '2': 1.08, '3': 1.08, '4': 1.08, '5': 1.08}};{'time_req': 1549217462, 'value': 1.22, 'apid': '1161094315:46355064:3:54:-9999:1:0:0:1', 'factor': 1.22, 'sport_id': 1, 'event': '46355064', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.22, '2': 1.22, '3': 1.22, '4': 1.22, '5': 1.22}};{'time_req': 1549217462, 'value': 1.1, 'apid': '1161094311:46355064:3:30:-9999:1:0:0:1', 'factor': 1.1, 'sport_id': 1, 'event': '46355064', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.1, '2': 1.1, '3': 1.1, '4': 1.1, '5': 1.1}};{'time_req': 1549217462, 'value': 1.18, 'apid': '1161094282:46355064:2:7:1.5:1:0:0:1', 'factor': 1.18, 'sport_id': 1, 'event': '46355064', 'hist': {'time_change': 1549217451, 'avg_change': [0, 10], '1': 1.18, '2': 1.18, '3': 1.18, '4': 1.19, '5': 1.19}};{'time_req': 1549217462, 'value': 1.03, 'apid': '1161963661:46425628:1:3:-9999:1:0:0:1', 'factor': 1.03, 'sport_id': 1, 'event': '46425628', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.03, '2': 1.03, '3': 1.03, '4': 1.03, '5': 1.03}};{'time_req': 1549217462, 'value': 1.22, 'apid': '1162968963:46454645:1:3:-9999:2:0:0:1', 'factor': 1.22, 'sport_id': 1, 'event': '46454645', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.22, '2': 1.22, '3': 1.22, '4': 1.22, '5': 1.22}};{'time_req': 1549217462, 'value': 1.34, 'apid': '1162271544:46434220:1:3:-9999:3:0:0:1', 'factor': 1.34, 'sport_id': 1, 'event': '46434220', 'hist': {'time_change': 1549217459, 'avg_change': [0, 18], '1': 1.34, '2': 1.32, '3': 1.32, '4': 1.32, '5': 1.32}};{'time_req': 1549217462, 'value': 1.25, 'apid': '1162271576:46434220:3:8:0.5:1:0:0:1', 'factor': 1.25, 'sport_id': 1, 'event': '46434220', 'hist': {'time_change': 1549217459, 'avg_change': [0, 18], '1': 1.25, '2': 1.22, '3': 1.22, '4': 1.22, '5': 1.22}};{'time_req': 1549217462, 'value': 1.12, 'apid': '1162967579:46454648:1:3:-9999:1:0:0:1', 'factor': 1.12, 'sport_id': 1, 'event': '46454648', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.12, '2': 1.12, '3': 1.12, '4': 1.12, '5': 1.12}};{'time_req': 1549217462, 'value': 1.2, 'apid': '1162967578:46454648:1:3:-9999:2:0:0:1', 'factor': 1.2, 'sport_id': 1, 'event': '46454648', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.2, '2': 1.2, '3': 1.2, '4': 1.2, '5': 1.2}};{'time_req': 1549217462, 'value': 1.09, 'apid': '1162968565:46454646:1:3:-9999:1:0:0:1', 'factor': 1.09, 'sport_id': 1, 'event': '46454646', 'hist': {'time_change': 1549217441, 'avg_change': [0], '1': 1.09, '2': 1.09, '3': 1.09, '4': 1.09, '5': 1.09}};{'time_req': 1549217460, 'value': 1.1, 'apid': '1139903072:45739100:1:3:-9999:3:0:0:1', 'factor': 1.1, 'sport_id': 1, 'event': '45739100', 'hist': {'time_change': 1549217442, 'avg_change': [0], '1': 1.1, '2': 1.1, '3': 1.1, '4': 1.1, '5': 1.1}};{'time_req': 1549217460, 'value': 1.18, 'apid': '1151920430:45739100:2:7:1.5:1:0:0:1', 'factor': 1.18, 'sport_id': 1, 'event': '45739100', 'hist': {'time_change': 1549217442, 'avg_change': [0], '1': 1.18, '2': 1.18, '3': 1.18, '4': 1.18, '5': 1.18}};{'time_req': 1549217460, 'value': 1.11, 'apid': '1151920438:45739100:2:8:2.5:1:0:0:1', 'factor': 1.11, 'sport_id': 1, 'event': '45739100', 'hist': {'time_change': 1549217442, 'avg_change': [0], '1': 1.11, '2': 1.11, '3': 1.11, '4': 1.11, '5': 1.11}};{'time_req': 1549217460, 'value': 1.12, 'apid': '1162967317:46454649:1:3:-9999:1:0:0:1', 'factor': 1.12, 'sport_id': 1, 'event': '46454649', 'hist': {'time_change': 1549217449, 'avg_change': [0], '1': 1.12, '2': 1.12, '3': 1.12, '4': 0, '5': 0}}
l;0.981395348837209;0.9804753820033951;0.9972677595628411;0.972457627118643;0.990133897110641;0.9972677595628411;0.9853316326530611;0.9801938474504841;0.990133897110641;0.964714714714714;0.9817045961624271;0.989163656571269;0.991452991452991;0.968541262658909;0.9615384615384611;0.994015957446808;0.98773660357238;0.9951107276387691
live_fork;27;27;27;26;26;26;26;26;26;26;26;26;26;26;24;24;24;18
minute;83.0;83.0;83.0;50.8;50.8;50.8;50.8;8.6;1.9333333333333331;10.766666666666667;10.766666666666667;0.0;0.0;9.35;52.983333333333334;52.983333333333334;52.983333333333334;6.9
name;Манчестер Сити - Арсенал;Манчестер Сити - Арсенал;Манчестер Сити - Арсенал;Арис - ПАС Яннина;Арис - ПАС Яннина;Арис - ПАС Яннина;Арис - ПАС Яннина;Малакатеко - Комуникасьонес;Мунигуате (жен) - Кобанерас (жен);Монаркас Морелия (жен) - Гвадалахара (жен);Монаркас Морелия (жен) - Гвадалахара (жен);УА Сакатекас - Кокодрилос де Табаско;УА Сакатекас - Кокодрилос де Табаско;Нуэва Консепсион - Чимальтенанго;Штутгарт - Фрайбург;Штутгарт - Фрайбург;Штутгарт - Фрайбург;Селая II - Сьервос
ol_avg_change_total;[7];[7];[7];[10];[10];[10];[10];[21];[];[18];[18];[];[];[14];[];[];[];[]
ol_time_change_total;1549217448;1549217448;1549217448;1549217451;1549217451;1549217451;1549217451;1549217462;1549217441;1549217459;1549217459;1549217441;1549217441;1549217455;1549217442;1549217442;1549217442;1549217449
pair_math;['46096733', '13021920'];['46096733', '13021920'];['46096733', '13021920'];['46355064', '13064042'];['46355064', '13064042'];['46355064', '13064042'];['46355064', '13064042'];['46425628', '13065092'];['46454645', '13107254'];['46434220', '13065237'];['46434220', '13065237'];['46454648', '13107260'];['46454648', '13107260'];['46454646', '13107240'];['45739100', '13011286'];['45739100', '13011286'];['45739100', '13011286'];['46454649', '13102370']
time;83:00;83:00;83:00;50:48;50:48;50:48;50:48;8:36;1:56;10:46;10:46;;;9:21;52:59;52:59;52:59;6:54
time_break_fonbet;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
time_last_upd;1549217468;1549217468;1549217468;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467;1549217467
time_req_fonbet;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462
time_req_olimp;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217462;1549217460;1549217460;1549217460;1549217460
